sample_id,language,text,sentiment,code_switched_english,english_token_count,word_count,source
sepedi_001,Sepedi,for to wake up with a banging hangover deep down ke bona le nna gore selemo sa kgaowa,neutral,True,1,18,Twitter
sepedi_002,Sepedi,go lorile pleasure a rwele ring not wena mjolo wa trapa,neutral,True,2,11,Twitter
sepedi_003,Sepedi,le nna nkao kwatela keo bona gore o king of tlc and you dont want menka kwata,negative,True,3,17,Twitter
sepedi_004,Sepedi,i hope the person i date likes it salty,positive,True,4,9,Twitter
sepedi_005,Sepedi,our 7s quarter guy o tsisa tshelete a rent a okeditse are dilo dia ture waitse keha kele emotional lehatshe le le na le basiame kana,neutral,True,4,26,Twitter
sepedi_006,Sepedi,she just wanted to say something lets give her a chance yoh mara nthabi le yena,neutral,True,3,16,Twitter
sepedi_007,Sepedi,aowa no akere we know this week batho ba di 25 ledi 27 are getting paid faacts,negative,True,4,15,Twitter
sepedi_008,Sepedi,ke seleka korr a ka nyoba mabane marr bona,negative,True,1,9,Twitter
sepedi_009,Sepedi,eyamaabane azanka ka no tshwara phone cuz network ne e sego the whole day,positive,True,3,14,Twitter
sepedi_010,Sepedi,e seng mokula mme tota no,negative,True,1,6,Twitter
sepedi_011,Sepedi,hhayi no bonang is more beautiful than waffles justaowacked unclewaffles insta umuhle kabi wena ndlovukazi bangakukohlisi,neutral,True,3,16,Twitter
sepedi_012,Sepedi,we tried bby girl we love you south africa loves you,positive,True,5,11,Twitter
sepedi_013,Sepedi,motho a tsamaye a yo wela kua kgule,neutral,True,2,8,Twitter
sepedi_014,Sepedi,sepedi ga se tshwenye se no nyaka o nale kgahlego mo go sona first assignment translate what i said above,positive,True,3,20,Twitter
sepedi_015,Sepedi,enjoy mama hope your boy is gonna watch 1 on sunday school holidays are here,negative,True,5,14,Twitter
sepedi_016,Sepedi,o winne lotto for you to kopana with me,neutral,True,2,9,Twitter
sepedi_017,Sepedi,bona ngiyavumawhat a beautiful song,neutral,True,1,5,Twitter
sepedi_018,Sepedi,hake so bone gore lerekisitse empa o rekisa mehla ena,neutral,True,1,10,Twitter
sepedi_019,Sepedi,ke bolawa ke you contacted me,negative,True,2,6,Twitter
sepedi_020,Sepedi,thats what family should be about modimo a le etse hantle hle love it,negative,True,7,14,Twitter
sepedi_021,Sepedi,the most convenient system baya go tswala gosele gone ha,positive,True,2,10,Twitter
sepedi_022,Sepedi,ba tlabile ngwana shem sorry hle,negative,True,1,6,Twitter
sepedi_023,Sepedi,ke botsa mamazala gore ke tswile for lunch efetsa yena a re eno mpotsa pila gore ao bowe ngwanaka,neutral,True,1,19,Twitter
sepedi_024,Sepedi,yaanong ha monna a sa batle go go leaver go dirwa jang these ladies continue to emba papa ss themselves waitse,neutral,True,2,21,Twitter
sepedi_025,Sepedi,i am trying to take a weekend off hope i survive,negative,True,4,11,Twitter
sepedi_026,Sepedi,roma deserves a top 4 spot,positive,True,1,5,Twitter
sepedi_027,Sepedi,thats my girl for u mogadime,neutral,True,1,6,Twitter
sepedi_028,Sepedi,maam that place is the ghetto tswa hela koo remember youre the one who said id see kabza in sa,neutral,True,5,20,Twitter
sepedi_029,Sepedi,you cant not love thato shame shes everything,negative,True,4,8,Twitter
sepedi_030,Sepedi,sorry i took long ware go bohloko ko kae,neutral,True,2,9,Twitter
sepedi_031,Sepedi,mongwe ne are ke mo rekele icetropez eja p 6595 mo liquarama a gona ko eleaowaap bagarona,positive,True,2,16,Twitter
sepedi_032,Sepedi,see what i mean hothwe ke nale pelo empi yanong ere ke robale,negative,True,2,13,Twitter
sepedi_033,Sepedi,im craving a burger and i dont even like burgers yoh baloyi,positive,True,5,12,Twitter
sepedi_034,Sepedi,the brown jersey e mo thusitse straight i suspect o rwele ka yona,positive,True,2,13,Twitter
sepedi_035,Sepedi,sester just 1 glass fela then back inside the casket i will save you a glass ha go nale mokete ha moagi,neutral,True,6,21,Twitter
sepedi_036,Sepedi,aowa dini mpya ya go di kgotlha so,negative,True,1,8,Twitter
sepedi_037,Sepedi,whos that guy a klapuweng jwalo,positive,True,2,6,Twitter
sepedi_038,Sepedi,its over palesayou broking me up utlwa fela aii fotsek,positive,True,1,10,Twitter
sepedi_039,Sepedi,ka dlala maybe ill give you a chance mara ro fella moyeng shame,positive,True,3,13,Twitter
sepedi_040,Sepedi,hes phakathi inside this guy o sebete,positive,True,1,7,Twitter
sepedi_041,Sepedi,ake happy ka mokhaba waka,positive,True,1,5,Twitter
sepedi_042,Sepedi,a nyaka gore ntoto ya gago,positive,True,1,6,Twitter
sepedi_043,Sepedi,shemenwa meetsesorry aker nanaputsu putsu sorry neh nanamchwaa,neutral,True,1,8,Twitter
sepedi_044,Sepedi,its 40 percent degrees in the northern cape so ke photse ka ntho tse soft,positive,True,2,14,Twitter
sepedi_045,Sepedi,dude ke tshetse petrol gore ke bake today okare ke tshela matipane,positive,True,1,12,Twitter
sepedi_046,Sepedi,yes yena o fihlile diseleng,positive,True,1,5,Twitter
sepedi_047,Sepedi,monna waka as i follow you for a follow back,neutral,True,3,10,Twitter
sepedi_048,Sepedi,the real meaning of that khuli track tswa da,neutral,True,2,9,Twitter
sepedi_049,Sepedi,kore even when you go to groove ka pelo e bohloko your dance moves will show hle,negative,True,4,17,Twitter
sepedi_050,Sepedi,lol gape company is a whole different thing,neutral,True,3,8,Twitter
sepedi_051,Sepedi,everyone that lives in pretoria must go to bed at 1am please,negative,True,3,12,Twitter
sepedi_052,Sepedi,ayii i doubt ehlile ke batho ba mona ba lesapo kea li ja ntho tseno otsebe,negative,True,1,16,Twitter
sepedi_053,Sepedi,and nowadays ha ho sana bo pompo tsane tsa metseng most people are now using wasco taps,neutral,True,4,17,Twitter
sepedi_054,Sepedi,le mo kwele amo he said till death,positive,True,1,8,Twitter
sepedi_055,Sepedi,tanki ke ene nneng a hlokahala eseng mo gongwe mo,neutral,True,1,10,Twitter
sepedi_056,Sepedi,ao ntate ice i feel you my nigga this is the sweetest thing honestly and im a proud senyofu,neutral,True,9,19,Twitter
sepedi_057,Sepedi,imma need your account suspended ngeke phela,positive,True,2,7,Twitter
sepedi_058,Sepedi,talk about deleting the effort in one bite ke tswa pelo gore,positive,True,1,12,Twitter
sepedi_059,Sepedi,gape ato just wants motogo,negative,True,1,5,Twitter
sepedi_060,Sepedi,and its for free keha ke hakgametse gore le nna,positive,True,1,10,Twitter
sepedi_061,Sepedi,didnt we all stop owning underwear a long time ago kapa ke nna feela,neutral,True,2,14,Twitter
sepedi_062,Sepedi,moya used to be my track,positive,True,2,6,Twitter
sepedi_063,Sepedi,so true malema is always trying to remain relevant for all the wrong reasons,positive,True,4,14,Twitter
sepedi_064,Sepedi,i hope today is wonderful and that youre able to rest burnout is hard af love ya,negative,True,8,17,Twitter
sepedi_065,Sepedi,eish yeah neah mare i will talk about it more ke excited,negative,True,5,12,Twitter
sepedi_066,Sepedi,sis tamara and thato deserved to be in the top 5,positive,True,3,10,Twitter
sepedi_067,Sepedi,kgadi ya borena o kare lo swara 16years this year mowe gona,positive,True,1,12,Twitter
sepedi_068,Sepedi,his nails were long and very dirty okare a tlete ka letsopa,neutral,True,4,12,Twitter
sepedi_069,Sepedi,lona nthoe weathera ele etsang yona cannot be didnt,positive,True,2,9,Twitter
sepedi_070,Sepedi,gore o nne mo koloing even if we are going the same direction go ntshiwa ma 40 pula le imetsa di koloi,negative,True,4,21,Twitter
sepedi_071,Sepedi,so youre gonna suffer until you go back complaining go kase thue babe,negative,True,2,13,Twitter
sepedi_072,Sepedi,i hardly even eat their chicken to the bone,negative,True,3,9,Twitter
sepedi_073,Sepedi,a go tla duduediwa ka nako go le kung fu,neutral,True,1,10,Twitter
sepedi_074,Sepedi,ke rile ere kego rekele yona on your birthday and you wanted books dula ledi books tseo,negative,True,3,17,Twitter
sepedi_075,Sepedi,rema runaway what a masterpiece,negative,True,2,5,Twitter
sepedi_076,Sepedi,so they informed biggie thats why he played music signaling they to calm down yoh biggie lala,neutral,True,5,17,Twitter
sepedi_077,Sepedi,maele a batswadi ao boloke pelong ya gago apare boka pheta mo molaleng,positive,True,1,13,Twitter
sepedi_078,Sepedi,she sees all my tweets ke follower so hale fitlhe nix ntho entle ya praisiwa,positive,True,3,15,Twitter
sepedi_079,Sepedi,le ene are o go rata thata auntiza wa overseas,positive,True,1,10,Twitter
sepedi_080,Sepedi,nyaya tsala o mo fetotse sematla go lekanee be asala amo dira baby sitter,neutral,True,1,14,Twitter
sepedi_081,Sepedi,was mpho the last one,negative,True,2,5,Twitter
sepedi_082,Sepedi,with salt not sugar nana no,negative,True,2,6,Twitter
sepedi_083,Sepedi,reasoning ae tsoge this side,positive,True,1,5,Twitter
sepedi_084,Sepedi,tumelo wa teng ke sure ha monate wherever she is i woke up to drunk vns,negative,True,3,16,Twitter
sepedi_085,Sepedi,happy birthday broi hope you enjoy your day,positive,True,3,8,Twitter
sepedi_086,Sepedi,o tsamaye o ye gona kouwe sesi a gago,negative,True,1,9,Twitter
sepedi_087,Sepedi,dont blame you katis artwork is simple phenomenal and i will never get tired of saying it,negative,True,9,17,Twitter
sepedi_088,Sepedi,makhadzi on saturday night sunday morning i have a photo shoot ha gona go iponatsa akere,positive,True,5,16,Twitter
sepedi_089,Sepedi,ha o rutile mmaabo you are set,positive,True,2,7,Twitter
sepedi_090,Sepedi,always the caseimagine kara di millions wa jo kgetha 1,positive,True,2,9,Twitter
sepedi_091,Sepedi,one thing about mpho she will make you cry,negative,True,3,9,Twitter
sepedi_092,Sepedi,yo aowa this is beyond shocking,negative,True,2,6,Twitter
sepedi_093,Sepedi,make it 2 gore pelo e wele,positive,True,1,6,Twitter
sepedi_094,Sepedi,motho a ingadise a ntse a itse gore wa go kolota mxm motswana,neutral,True,3,13,Twitter
sepedi_095,Sepedi,never this is my life aibo mangyeka lento what else can i do my limits go as far as alcohol,positive,True,9,20,Twitter
sepedi_096,Sepedi,a flower si beautiful naledi mogadime,positive,True,1,6,Twitter
sepedi_097,Sepedi,lena le nale drama but same,negative,True,1,6,Twitter
sepedi_098,Sepedi,musa khawula drops a bomb and moves on to the next storygana mathatadrops allegedly then moves on,negative,True,3,17,Twitter
sepedi_099,Sepedi,potso e thata hakaalo it is what it is man,neutral,True,5,10,Twitter
sepedi_100,Sepedi,ke na le dikoloto lelo please eseng wena ebile,positive,True,1,9,Twitter
sepedi_101,Sepedi,di a bowa ko mjolofontein,neutral,True,1,5,Twitter
sepedi_102,Sepedi,ke tsile ke tla ke goa ke opela mo 1 otlhe and nowmy headaches likei dont its painful that one i know,positive,True,4,21,Twitter
sepedi_103,Sepedi,but ntate modimo le ena tlamega a bone plan la nka zama kabo 2 million nje,positive,True,2,15,Twitter
sepedi_104,Sepedi,mpandlane o stlaela mos wena you cant even tell gore ntja e is not an eff member or o hloka borstol,negative,True,6,21,Twitter
sepedi_105,Sepedi,you better ke bone ore ke ka july ill be waiting,neutral,True,4,11,Twitter
sepedi_106,Sepedi,kenna fela or yhoo modimo forgive me,neutral,True,2,7,Twitter
sepedi_107,Sepedi,watseba bothata a se small odds ke wager mzala wager 10tao o tla bona gore 143 ase small odds,negative,True,1,18,Twitter
sepedi_108,Sepedi,bona this is the most south african thing,positive,True,4,8,Twitter
sepedi_109,Sepedi,i think swanetse ro bona optometrist,negative,True,1,6,Twitter
sepedi_110,Sepedi,i have mathata ba teng mo lapeng ya go tla ba le ha,positive,True,2,13,Twitter
sepedi_111,Sepedi,le embalenhle ekene letse moo we struggling nje ka ho hema,negative,True,1,11,Twitter
sepedi_112,Sepedi,bathong the season just started,neutral,True,2,5,Twitter
sepedi_113,Sepedi,i saw mo di comments ek het net gesien ke lesepa la motho,positive,True,1,13,Twitter
sepedi_114,Sepedi,mme a bolela nnete casemiro ga e kake a simolola fa pele ga scott,neutral,True,2,14,Twitter
sepedi_115,Sepedi,they will not sustain that hara tlala ee kapa ke liphallello li test kids tseo,neutral,True,4,15,Twitter
sepedi_116,Sepedi,mme kana bagolo saw it coming thats why ba rata go relocatela masimo,negative,True,2,13,Twitter
sepedi_117,Sepedi,so she owned a fire arm skaba nyata bo magogo ba jerrnagana fela a go betha ka bullet marago aa eehh,negative,True,4,21,Twitter
sepedi_118,Sepedi,lol nna ke no homola ka gore ge nka bolela,neutral,True,2,10,Twitter
sepedi_119,Sepedi,hao chomie ya ka kwena o bolelang so,negative,True,1,8,Twitter
sepedi_120,Sepedi,mara this year reka loka ko wild waters ne,neutral,True,1,9,Twitter
