sample_id,language,text,sentiment,code_switched_english,english_token_count,word_count,source
isizulu_001,isiZulu,"loadshedding has me on chokehold😫, but im seeing the tweets ukuthi ipeleng won💃🏽 im so happy for her first female to win this season arena games💪🏼 bbtitans",negative,True,11,27,Twitter
isizulu_002,isiZulu,"a beautiful song inspired by unconditional love teddy souls vocals, yeses🔥🔥🔥🙌🙌 umshado",positive,True,3,12,Twitter
isizulu_003,isiZulu,cabonena go to nyanga and gugulethu as well as cape flats you will find all your answers,neutral,True,7,17,Twitter
isizulu_004,isiZulu,"ikuku ikhothwa umhlaba wonke, xa ungayikhothi its fine vele amanye amadoda atabanekile thats not against the law",negative,True,3,17,Twitter
isizulu_005,isiZulu,fine uzong tshela come poland,neutral,True,1,5,Twitter
isizulu_006,isiZulu,keng nkare siya is also fading into the background🫠,negative,True,2,9,Twitter
isizulu_007,isiZulu,sisi wait ngibathanda ubayede nokamayisela bakithi drama🥺 humble people,negative,True,2,9,Twitter
isizulu_008,isiZulu,hau kanti this is true😂😂eh hhayi bengithi badlala ngami,negative,True,2,10,Twitter
isizulu_009,isiZulu,maman nelly tshela may god bless you,neutral,True,1,7,Twitter
isizulu_010,isiZulu,"senzo solo ngifuna libhodo mine malume, umshana akahambe ayodweba ke loku ete ema data endlini😂😂😂",positive,True,1,15,Twitter
isizulu_011,isiZulu,"mtn bushfire is pleased to announce e262,45563 in sponsorship for festival beneficiaries in 2022 more on nota fromscratchnetflix",neutral,True,6,17,Twitter
isizulu_012,isiZulu,"siya prosper nene it doesnt not matter how he received it, naye kumele athwale koilluminati njengocassper ukuze aphumelele",negative,True,4,18,Twitter
isizulu_013,isiZulu,"nine anger, nina engekho let this shit go there are more pressing issues that require this type of energy yall want to be woke ni woke ke bakithi yoh",negative,True,8,29,Twitter
isizulu_014,isiZulu,anita anita kutheni kwamele sinifundise ukukhuluma say i anita the kind of man im attracting in my life then ubuze uthi is it me or the kind that im attracting😎😎,negative,True,12,30,Twitter
isizulu_015,isiZulu,indlala izonbulala lol,negative,True,1,3,Twitter
isizulu_016,isiZulu,cabanga sowuyisa ikuku kulo for maintenance soze 🤣🤣🤣,neutral,True,1,7,Twitter
isizulu_017,isiZulu,no hayi chiefs ayikwazi nje ukudlala ibhola 😂😂😂this is painful to watch 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️,positive,True,4,12,Twitter
isizulu_018,isiZulu,those are the results of squeezen nathi cabanga nje on a pig homo sapiens are a disappointment at times,neutral,True,9,19,Twitter
isizulu_019,isiZulu,"nolz1 this is sad , hopefully uzofumana omnye umsebenzi umke apho your mental health is important",neutral,True,8,15,Twitter
isizulu_020,isiZulu,ukhozifm time ☕siqhubeka yayizolo sizokhuluma nosibhalele othi uyalazi iqiniso ngodaba lwabhuti obesibhalele,positive,True,1,12,Twitter
isizulu_021,isiZulu,hahahaatleast you can tshela litre petrol,positive,True,2,6,Twitter
isizulu_022,isiZulu,chif drop those siya stories now,neutral,True,2,6,Twitter
isizulu_023,isiZulu,mbanje is medicine for the bodyi wonder what manje is considered a crime,positive,True,5,13,Twitter
isizulu_024,isiZulu,with love amanga omntomdala,negative,True,2,4,Twitter
