sample_id,language,text,sentiment,code_switched_english,english_token_count,word_count,source
sesotho_001,Sesotho,lol you still asking senda fela,neutral,True,3,6,Twitter
sesotho_002,Sesotho,monique bingham owes us 5 albums coz since kemo qetela ka you put your fingers in mypap pap pap pap,neutral,True,3,19,Twitter
sesotho_003,Sesotho,wish i can sing that verse sefela se se maatla lefifi le letsho letsho le mofuteng o kgopo,negative,True,3,18,Twitter
sesotho_004,Sesotho,ene go bata o mo etela i feel like his tweets would be funnier now that hes not a world leader,positive,True,9,21,Twitter
sesotho_005,Sesotho,the way banang le drama kateng bana ba paramente ya10 ke nahana le next week batlabe baso litheohe,neutral,True,1,18,Twitter
sesotho_006,Sesotho,lekhale ho tletse already ka moo,neutral,True,1,6,Twitter
sesotho_007,Sesotho,ke nahana ena e ngotsoe ke motho oa le dc seeking sympathy kapa a leka ho itlhatsoa ka abc ho latela litaba tsa eona,negative,True,1,24,Twitter
sesotho_008,Sesotho,home affairs le traffic ntho tsena tsa lone li phoshoa hoo kore le mmuso ore otla ka mpama nahana ausi thandi,negative,True,2,21,Twitter
sesotho_009,Sesotho,that was less mitigating calling for introspective reviewanc must go is what we are preparing forke dinyane dikgolo di setla,positive,True,7,20,Twitter
sesotho_010,Sesotho,bathong lebo vele you woke up thinking we hate you ole motle tje,negative,True,4,13,Twitter
sesotho_011,Sesotho,ke tsona ntho tse etsang a hane ka number10 tsona tsena,neutral,True,1,11,Twitter
sesotho_012,Sesotho,thuso mbedu is so adorable on,positive,True,2,6,Twitter
sesotho_013,Sesotho,o gorogile aker mme my girl o restilenyana,neutral,True,1,8,Twitter
sesotho_014,Sesotho,hantle ho etsahalangi just tuned in,positive,True,1,6,Twitter
sesotho_015,Sesotho,empa ke point of sale that should be charged differently,negative,True,3,10,Twitter
sesotho_016,Sesotho,ke nahana ke otluoe i date guys ba sa rateng bolo helek,neutral,True,1,12,Twitter
sesotho_017,Sesotho,site visit 012022 countdown to this sunday have you got your ticket yethmu for deliveries and drinks will be available tlang re bueng kgang tsa pelo,neutral,True,7,25,Twitter
