sample_id,language,text,sentiment,code_switched_english,english_token_count,word_count,source
isixhosa_279,isiXhosa,mdunkosi9 hybreed 🙆🏽‍♂️😂😂😂lutho bhuti sekusile yini ngithi yonke lento i phupho,positive,True,1,11,Twitter
setswana_266,Setswana,yeses this response e tlhoka come back stru,negative,True,1,8,Twitter
sepedi_102,Sepedi,ke tsile ke tla ke goa ke opela mo 1 otlhe and nowmy headaches likei dont its painful that one i know,positive,True,4,21,Twitter
sesotho_140,Sesotho,e bohloko that thing obe hantle,positive,True,1,6,Twitter
sepedi_059,Sepedi,gape ato just wants motogo,negative,True,1,5,Twitter
isixhosa_221,isiXhosa,mthembu khumbulu bengibekisa… ngeke sixabaniswe imali engekho okay ngokuzama ng esincane … ngizobuza umama yongy094 if singakunika malini,negative,True,2,17,Twitter
sesotho_024,Sesotho,rena we paying1500 plus1000 for transport,neutral,True,2,6,Twitter
isixhosa_075,isiXhosa,lmkonqo 🤣🤣🤣🤣 kaloku you were busy finding notes from donkey years ago awatsho ubana you are packing,negative,True,4,16,Twitter
sesotho_112,Sesotho,oreka 6 felase bereketse those were thee timesnow kedi ice tropez,neutral,True,2,10,Twitter
setswana_256,Setswana,mare lona guys i ve been too quiet mare why le tshela mayonnaise jwalo hake happy mahn,negative,True,4,17,Twitter
setswana_221,Setswana,wa tshwana mos o ema line tsa anaconda for that,negative,True,1,10,Twitter
sepedi_045,Sepedi,dude ke tshetse petrol gore ke bake today okare ke tshela matipane,positive,True,1,12,Twitter
sepedi_050,Sepedi,lol gape company is a whole different thing,neutral,True,3,8,Twitter
setswana_250,Setswana,madume lekoko ke a leboga thata ka go tshameka pina eo ya big zulu voicemail ke tsositswe ke yona,positive,True,1,19,Twitter
sepedi_241,Sepedi,haha plus gwa fisha lmao,neutral,True,1,5,Twitter
sepedi_171,Sepedi,lol nah e ka se go tshware cos setse o a tseba nou,positive,True,2,13,Twitter
sesotho_224,Sesotho,o enkile hantle ka nnete o la itjella chepisi a khaona le taba tse ngata,negative,True,1,15,Twitter
setswana_166,Setswana,waitse ekare nka lla sale ke opellwa ka team ye since yesterday go phakela please,negative,True,2,15,Twitter
setswana_239,Setswana,lol ke tlo o penyelletsa fatshe joalo ka senepeng seo,neutral,True,1,10,Twitter
sesotho_124,Sesotho,tlohela moya oo layela so that o tlo thusa bana batho thokoza gogo o hantle,negative,True,2,15,Twitter
sesotho_081,Sesotho,damn now i zoomed in on lori harvey toes they dont look good,negative,True,5,13,Twitter
setswana_010,Setswana,nagana mara this happening to one yoh buhle must be helpednako eo such happens each day go thata go ba ngwanyana,negative,True,2,21,Twitter
setswana_077,Setswana,rragwe faith sounds like a conman bathong,positive,True,2,7,Twitter
sesotho_045,Sesotho,etsang fast ba kwatile batho nou,positive,True,1,6,Twitter
sepedi_110,Sepedi,i have mathata ba teng mo lapeng ya go tla ba le ha,positive,True,2,13,Twitter
sepedi_278,Sepedi,futhe angaaowalang kahle a fane a tata yinga tlakuleki,positive,True,2,9,Twitter
setswana_078,Setswana,ntate teboho moloi s songs makes you feel like everything is gonna be okay,positive,True,6,14,Twitter
sesotho_271,Sesotho,all the photos from lori harveys glamourous birthday celebrations,positive,True,1,9,Twitter
sesotho_059,Sesotho,ohh mona go a tobetsa hela,negative,True,1,6,Twitter
sesotho_299,Sesotho,she can ko public place nahana cheri ya hao ba monka videos and alles ale all over dancing,neutral,True,3,18,Twitter
sesotho_091,Sesotho,ha rena chance today just before1000 ne ke mametse 91i almost thought it was a saturday radio,negative,True,6,17,Twitter
setswana_294,Setswana,bese it s 4 games for tomorrow,neutral,True,2,6,Twitter
setswana_093,Setswana,very beautiful tlaya you will get a discount if you buy two,positive,True,6,12,Twitter
setswana_128,Setswana,city e tshwana le motho are o supporter bdf xi,negative,True,1,10,Twitter
sesotho_063,Sesotho,uso e bitsa majoala joale empa yesbo nthabisa blindtrue love,positive,True,1,10,Twitter
sesotho_297,Sesotho,dumelang le phela joang welcome to the wednesday edition of the best breakfast show in the land tlamang mababanta ha re eeng pooopooopooopoooh,positive,True,4,23,Twitter
sesotho_128,Sesotho,ketla onkela sepe hoseng it helps ka focus wa tseba obviously because re rata redbull tlabe ontso o e nwa as well,negative,True,2,22,Twitter
sepedi_071,Sepedi,so youre gonna suffer until you go back complaining go kase thue babe,negative,True,2,13,Twitter
sesotho_022,Sesotho,nkampa yase work out haketlo o kgalemella motho 1 or something hangata hao ngwana you know whats right and wrong,negative,True,4,19,Twitter
setswana_053,Setswana,pitso mosimane has revealed he currently has two offers to return to coaching one with a club and another with a national team,neutral,True,6,23,Twitter
isixhosa_166,isiXhosa,havana bloom yes ngibe happy once😩🤣cabanga sengi trend nalezicathulo 💀💀,negative,True,2,10,Twitter
sepedi_108,Sepedi,bona this is the most south african thing,positive,True,4,8,Twitter
isixhosa_209,isiXhosa,the way everyone is helping 😭😭😭😭 ndiyabulela from the bottom of my heart🙏🏽,positive,True,4,12,Twitter
sesotho_056,Sesotho,can we have a hip hop gig ko maseru ya stateng mafikeng tlheng bagolo re nyoretswe motswako re baakanye dikgokgotso before maftown heights tuuuu,neutral,True,4,24,Twitter
isixhosa_051,isiXhosa,xolamagau when mine was doing gr1 ndandisiya at least once a week i even started buying from that school shop iyadura impahla yesikolo,negative,True,7,23,Twitter
sesotho_043,Sesotho,kganya mkhangisas body is one that i need for myself,neutral,True,3,10,Twitter
sesotho_055,Sesotho,siyabonga bafo isoccer laduma is blockile thina abanye,neutral,True,1,8,Twitter
sepedi_024,Sepedi,yaanong ha monna a sa batle go go leaver go dirwa jang these ladies continue to emba papa ss themselves waitse,neutral,True,2,21,Twitter
sepedi_044,Sepedi,its 40 percent degrees in the northern cape so ke photse ka ntho tse soft,positive,True,2,14,Twitter
sepedi_244,Sepedi,you guys are just a bunch of harlots aowa,positive,True,4,9,Twitter
setswana_138,Setswana,lona le tshameka hela after bfa e kgalema on that date,negative,True,1,11,Twitter
