sentence,Final_labels,predict_name
@user gwa tshwana rena ba bang a re kreye selo mos,negative,Sesotho
e bata goal spurs,neutral,Sesotho
@user @user ke nahana taba eno ea ho batla ho khetha hobane re shebile our own benefits re le batho ke eona e sentseng polotiki ea lesotho so we went behind assholes for years coz re shebile melemo e direct rele batho a eea sebeletsa n,negative,multi
@user lotho hle empa fela ke ipotela,positive,Sesotho
@user @user keu utloa hantle,positive,Sesotho
@user cut cut cut le rona re bata go bereka,negative,Sesotho
@user @user @user plus wena keya o rata hao ba thsabe ausi magdeline and bao utlwisisa ha haholo,positive,Sesotho
@user enele ena neke nahana ke bo moleleki le bo rapapa that was so embarrassing from just watching,negative,Sesotho
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user no lie,positive,Sesotho
prosze przygladnac sie temu zdjeciu przeciez to pudelko z zapalek i w polsce kazdy wiatr by to rozwalil w pare sekund ludzie w polsce maja lepsze stodoly niz oni domy amerykanie,neutral,Sesotho
@user dikobo nahana fela,neutral,Sesotho
@user ako onne otswa mo lapeng o itlhabise phefo,neutral,Sesotho
@user eish pelo e santse e bata alchy,negative,Sesotho
yazi to think that soccer laduma loaned this gem out,negative,Sesotho
something a father would say to his daughter lori,positive,multi
gongwe ne go batla motho a le ko gae nna re bona lefifi hela,negative,Sesotho
@user hei babe o hantle ae hle,positive,Sesotho
@user re moruti maine a buile morao ha utlwahale hantle ka vaal,positive,Sesotho
@user @user nthweno e batla kee plane hantle ke tsebe hole taya horee be ke bake le nne le re lijo li monate athe li na le litaisi,negative,Sesotho
wana go check something somwer its coldish knock off tlheng le bereka yang kanti,positive,Sesotho
@user abuti are you in any way a part of betway squad re tlhoka thuso abuti weits,positive,Sesotho
@user lebogang hlobola jersey ya rena,neutral,Sesotho
@user i will more kea e nahana,positive,Sesotho
@user lol ha go utlwe boi i guess her reply is referring to the niggas in her tribe not the rest of sa,negative,Sesotho
@user foreign policy e teng e ngotsoeng ebile khale e le teng empa ho ea ka hore na ea tsokang sephali o batla ho e ela hloko na,negative,Sesotho
@user nna rea e amogele wene obolela gore fang basadi chelete not dinyatsi le dicheri,negative,Sesotho
@user kea leboha mofokeng e motle,negative,Sesotho
@user that is ntate thuso motaung from @user,positive,Sesotho
banabeso ke lebohile tshehetso ya lona haholo fela kere le ka moso,positive,Sesotho
nna re hlokomela mebele the very same way re tortureang ka gona,negative,Sesotho
@user i told that to a colleague malobao fitlhela ba se close close le batho ba teng kana,positive,Sesotho
@user na ke phathahane hampe feela,positive,multi
motlakase yo o bata laptop phone le power bank di le mo100 nako tsotlhe,neutral,Sesotho
@user @user @user ha se photophoped tsoantso see matso ho ana a masoue haholo she ba le hloohong mona,negative,Sesotho
@user @user @user dumela lava ke kopa baeti ba hao ba ska itshwantsha le pele the legend re hloka ho tlotla ba rona ba bolo pele empa he pele rtla mo tlotla ha o na le sebaka ke theunissen,negative,Sesotho
@user hantle fela babes,neutral,Sesotho
@user @user ee thats why kere go tshwana hela nna ke ipotsa ba akanya bagolo bata ba direlang motho asa bolo go heta retirement age,negative,Sesotho
@user kea u lebohisa mokuena,neutral,Sesotho
@user @user @user o kreye maphodisa ako lewatle ama usless,neutral,Sesotho
r4m is from rbn stop reading soccer laduma and kickoff sir,negative,English
ke qetile mahlo ke diala ha a je letho,neutral,Sesotho
@user u bile motle hahoooolou ratehile,positive,multi
@user to be a proff it does not mean you know it all ke utloa a ferekane haeba ke puo ea hae eno,negative,Sesotho
@user ke lebitso la motho ke oalerehomotho hae ne ese motho ene tlaba lalerehontho,negative,Sesotho
@user hahahahahahahahahaha o re mathanga a mpho a etsang,neutral,Sesotho
@user @user nna lenna nkate ke tla tswa mo dilong nougroove e tletse ka batho ba sa go rateng,negative,Sesotho
today ne re qetela ho itlhahisa kapela iecse re tla utloa li 09 ha re hlaisoa kapela sechaba,positive,Sesotho
ke ha ke ikela lapeng those drive through queues were insane,negative,Sesotho
mara re sentse kae rena,negative,Sesotho
@user @user @user @user @user @user thats how they debate issues by mixing topicsi think resa ba fella pelo i mean matome ke wabo rena otlo,positive,Sesotho
@user ke hantle tanki wena,positive,Sesotho
