text,labels
nm hamba uzo organise phambili ,positive
lindo ntusi kanjani ngikuthanda kangaka kodwa ≡ƒÿè≡ƒÿè ,positive
bakery weeeeh women bafelela kangaka ,positive
khumalo what lies manje ,positive
msimango yini manje ,negative
zakes this guys is very ambitious ngempela ,positive
"phezukwabo bafana bakithi, 4 defeat in a row will make me the happiest man alive≡ƒÿè≡ƒÿè ",negative
uya kweliphi icala ,negative
udlisa inqondo yami upoison ngiytshele ukuthi ngiyahluleka kanti im on the right trackaww bathi ngazbukesbukweni≡ƒÿ¡≡ƒöÑ ,negative
geordinhl he must deploy them to nyanga gugs browns farm mfuleni and dunoon ,negative
ngicela ningipha imali ≡ƒÿ¡≡ƒÿ¡ ,negative
angicothoze nabontuthuko no ningi zuluhlengiwekasyafanamabiyela ntanzi engezamthobisi thusi ikhwezilokusa fm ,negative
restubaba sekumele ahambe isonto manje ku late ,positive
ngangithi amahloni kodwa sila la esikhonahulumeni wenu ,negative
"cyrilramaphosa we have been saying he must step down for the past year now, khululeka we can multitask, we handle multiple criminals at the same time, asidlali ",positive
"bossmatriach this was the wildest part for me, i mean i grocery ne petrol yonke, all in 12 ngeke guys ≡ƒÿé ",positive
mina bengithi asinikwe league ≡ƒÿé≡ƒÖî≡ƒÆÖ ,positive
ucela umsebenzi nje lo ,neutral
lutho ke ≡ƒÿ¡ ,negative
kade kunjani emshadweni nqobzin sadla sasutha ≡ƒÿÆ≡ƒñú ,positive
amanga ≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡ ,negative
enye inkinga esbhekene nayo kuvele kukhankase abantu eshlala nabo bekhankasele abantu abalapha abanye syabakhetha ngoba sibathemba weee uma nje esekhethiwe usekhohliwe yithi aisuka ,negative
"wa bo tshela straight ,o berekela mo nakong≡ƒÖå ",positive
cela ufunde funda noma iphepha lechapies funda kodwa umehluko nawe uzowubona ,negative
"lapho looking at the comments, ngathi iwona uf4 othandwa kakhulu by the people whoΓÇÖve tried it ≡ƒñó ",negative
"lol ≡ƒÿé≡ƒñú angisho lutho, kodwa siyafana ",negative
ingozi leyo ,negative
lady zamar cishe wasiphuca umculo omnandi ngeke ulingene izulu ≡ƒÖä ,negative
afrikaans manje sinyele ,neutral
biyela manje le language umazkhandele≡ƒÿé ,positive
pontsho mp khuluma phela naledi ,neutral
ltd lol aibo no ayikho leyo uyamula nje umuntu wesifazane uma esezogana noma ngabe unayo noma akanayo ingane futhi kube kumzali wayo ingane ukuthi uyathanda yin ukuymulisa ai ngoba kuyinto esuke iphoqa ,negative
aii futhi kancane ≡ƒÿé≡ƒÿé ,positive
akho no yedwa lana onesbindi to point out to you ukuthi iwrong lento enhle uyenzayo on a public road uyamazi umbaks if he sees this uzobaenkingeni brazzo≡ƒñ₧≡ƒÅ╛ ,positive
"patriot2thecore dooublecsquared 2 uma seniqonde kukhuluma nathi, siyozwa ngaleyonto okwamanje, ningaxoxa nodwa njengama kwerekwere ",negative
ayaluma amanzi Γÿ╣ ,negative
manje senteni ke ,neutral
jobe uqala manje ukubona ukuthi ama faction ayinkinga would you feel the same if zumaΓÇÖs faction was in charge ≡ƒñö ,negative
muyekeni bakithi uzama ukusiza her dad ukwandisa ifamily nje naye ≡ƒñ╖≡ƒÅ╜ΓÇìΓÖÇ∩╕Å ,negative
kodwa umkhulu bakithi ≡ƒñú≡ƒñú≡ƒñú ,positive
belk29 please leave big brother to us with its own channel 198 that does not interupt any viewing senifuna sibuke ini manje amandiya izinto okuphela u 3 days lokhu zimangele ukuthi khona abamsakaza ngempama ,negative
ok sengifikile manje ≡ƒÿï≡ƒÿà ,positive
ngenxa nje ye mention kwi culo youΓÇÖre back on our timelines≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡≡ƒÿ¡ ,negative
ngubane umhlakaze nke umlahle phansi ≡ƒÿé≡ƒÿé≡ƒÿé≡ƒÿé≡ƒÿé≡ƒÿé≡ƒÿé ,positive
im gonna join you soon let me 1st deal with these strangers kancane ≡ƒÿ¡ ,negative
vocal beat mixing improved heard clean impi ngifuna wena ≡ƒÑ╣≡ƒÑ║ ,negative
and yΓÇÖall are talking about arsenalΓÇªcabanga fam ,negative
not this girl that i was fooling around with in grade 9 asking my friends for my number that was 2005 cabanga ,positive
ayibo nozi ≡ƒÆâ≡ƒÅ╜≡ƒÆâ≡ƒÅ╜≡ƒÆâ≡ƒÅ╜≡ƒÆâ≡ƒÅ╜≡ƒÆâ≡ƒÅ╜≡ƒÆâ≡ƒÅ╜≡ƒÆâ≡ƒÅ╜≡ƒÆâ≡ƒÅ╜ bring home vote ningagcini ngokukhuluma team nozi ≡ƒÆâ≡ƒÅ╜≡ƒÆâ≡ƒÅ╜ ,positive
wozinuka amakhwapha before blaming abafana nawe ngeke amadoda amahlanu 5 give you a same problem kusho inkinga inawe ,negative
m at least this ke≡ƒÿ¡ usuhluphe kakhulu ,negative
niyombona nin uthukzin ukuthi unje ≡ƒÿ¡ ,negative
"vuyina bathong vuyina, ngicela amachips wer18 ",neutral
rms im confused ≡ƒñöitsala kuye le mali nha xa kuphela nyanga ,negative
i wish umsebenzi had iblack friday kube nomtitilizo onzima oza ngamanani apantsi saze salithwala esoutha ≡ƒÿ⌐ ,negative
we all gave a the benefit of the doubt but kancane kancane uyavela unono ,positive
i think itΓÇÖs the dopest iΓÇÖll be laughing at the reels all day everyday inkinga yenu yΓÇÖall follow celebrities and influencers ,negative
ekuseni emini ntambama ≡ƒÿé ,positive
madala mara yin kangaka ≡ƒÑ║ ,positive
ngoba vele ngakugcina nini nje bakithi ≡ƒÆö ,negative
ihapines ibhalwe ebsweni kuwe timsuch beauty≡ƒÿì ,positive
sabc sport ziyakhala wayebhekelani phezulu ,positive
basegoli ngobuningi babo laba base africa abavele bathimise bakhagule amathe phansi maqede bangaboni phutha kuloko lutho amahloni sicela bawuyeke lomkhuba ,negative
ezinkulu keh manje thats the game bro Γ£î≡ƒÅ╛≡ƒÆ»≡ƒÆ»≡ƒÆ»≡ƒÆ» ,positive
yiphi inkonzo ≡ƒñ¡ ,neutral
hahah khululeka bafo ,positive
trixsa ufike endlini wayo dlala ≡ƒñú≡ƒñú≡ƒñú ,positive
amanga ,negative
"sa all i can say is that some men are brave, living and waking up to such would lead me to deep dark depression if the excuse is muthi i would believe the dude ",positive
"bayafana la lezi eyithand ukudlala ngomsebenzi zihlala zixoshwa njalo, but zphind ziwothol umsebenzi fast ",negative
ingobamakhosiukubhonga kwenkunzi ukuphikelela yilo igama lebutho lezinsizwa ezazisekhaleni lempi yasesandlwana suka ≡ƒÿñ yeyi zinsizwa anophelela ebunsizweni niyeke utshwala ,negative
eish inkinga nje ingane yami ihlala lapha≡ƒÿ¡ ,negative
easy money convincing people easy money wake drink cofe bakithi ,negative
21 nihlezi nicabanga ucansi kule app ,neutral
mfundo verbal fast for 30 days hlala kanjani nyanga yonke ungakhulumi namuntu ≡ƒñö ,negative
"cha, ikhona ihennessy endlini akabuye sizogphuza sow2 ",positive
an umuhle kakhulu futhi ≡ƒÆ¥≡ƒÆÖ ,positive
mzala inqondo yakho iyaahesha phambili ≡ƒÿé≡ƒÿé≡ƒÿé ,positive
"with several players having left orlando pirates for different clubs in the dstv premiership on loan deals, one of the stars could have an option to make his move permanent, the siya crew has learnt slsiyaread more ",positive
"exactly point of matter, lezinto ozifanisayo azifani wenza ngathi one genre needs the other to survive or one cannot survive without the other basically ukubukela phansi umsebenzi of artists working hard and others harder ",negative
satan is here manje ≡ƒñ₧≡ƒÅ╜ ,neutral
haibo lemvula manje ,positive
uphele umsebenzi ,neutral
thembur ngiyawudinga straight nje manje ou ngeke ,positive
nothing lasts forever heΓÇÖll survivelove and light to him bakithi Γ¥ñ∩╕Å ,positive
kusano +35 and 4 yinto eyi one do not focus on 3 way bla bla khohlwa iloko just focus on numbers make sure there is always a positive sign + ngoba once zathi negative it will be complicated for you usibuze how did i lost this slip ≡ƒÿé≡ƒÿé≡ƒÿé ,negative
nugget trying to sing eensy weensy spiderher inka winka pada obviously i burst out laughing her what pauseher what ngyamsaba manje ,positive
resident yako konka e tshela thupa fela k motha≡ƒöÑ≡ƒöÑ konkalive ,positive
vele sihlezi sithi asinandaba ngoba asikaze sithole lutho futhi ngeke sithole lutho ≡ƒæï≡ƒÅ╝≡ƒÿ¡ ,negative
lizomudla ekugcineni leliya phala ngyothi ngashooo nasi≡ƒñ₧ ,positive
rsa s ≡ƒÿà ≡ƒÿà mfethu ibuhlungu leyonto ,negative
seni stresed ngempela mase nibingelela nenyanga ≡ƒÿÆhelo november ≡ƒÖä≡ƒÿÅ ,positive
kancane maan ,positive
"n ay ngeke, ngizozama ntambama angfuni ukuquleka ",neutral
"inkinga abantu abayiphethe, theyre all crooks ",negative
dont elders from your side of the family say such on your behalf amahloni angathini kimi as the groom ≡ƒÖê ,negative
"lutho mtaka mkhulu, akukwaz ",positive
"mashele pick up, but dont marry ke, at leastyini le ejahisana ehome affiars ngempela ",positive
"mka isibindi esikubantu ngiyesaba, ingazani isifunana phansi≡ƒÿ¡≡ƒÿé≡ƒÿé≡ƒÿé ",negative
"ngempela mina ngisho laba abahlulwa ukusebenza mese bezoqamba amanga bekhombe into engekho laba bekhala, laba beloadsheding, laba abasivalela amanzi ",negative
ngempela oe ,positive
"yini esinayo as a country gesi awukho, amanzi awekho, imali ayikho ",negative
ay guys asΓÇÖqhubekeni sifoseni sobona phambili ,positive
zikhala ngempela ke manje ,positive
≡ƒÿé≡ƒÿé≡ƒÿé≡ƒÿé≡ƒÿémanje umthukelani≡ƒñú≡ƒñú≡ƒñú≡ƒñú≡ƒñú≡ƒñú≡ƒñú ,positive
"khomotsoacc you also might be into something there≡ƒñú≡ƒÿéΓÇªbut still, she should pray we donΓÇÖt go back here, phambili cadre ",positive
mrozawangempel ngimazi kahleengakhala kuqala ngempela≡ƒñú ,positive
"sphumie uzwa ubuhlungu yini, ≡ƒñú ≡ƒñú ≡ƒñú ≡ƒñú ≡ƒñú ",negative
aniyekeni ukuletha abantu abalunywa impahla kuma timeline ≡ƒÿÄ ,positive
"za hi konje ngenza kanja, ngi sebenzisa iyoco mshini and ama banking details ngisebenzisa a personal manje sengine business bank account,ngifuna ukufaka yona sizanibo senze umsebenzi ",negative
soze uphelelwe ngamandla ngoku sowulwe kangakauzawphuma apho ,positive
ndingugigi uthetha ukunya when u fail to show to ubuso bakho obunamashubaba namatshanda ngathi uyinja enomgada≡ƒÜ« ,negative
manje uzungu nondlovu will be in the same set futhi ,negative
cele cha but mayefuna ukuchaza engasho ukuthi izinto azilunganga phakathi kwabo uma ingane ifuna incazelo engaphezu kwaleyo then akusiyo ingane leyo akayitshele iqiniso ,negative
cishe ngashona this weekend ≡ƒÿ¡ ,negative
zimangele izitha zakhongawe ,negative
matshela ngoba iselesele ngempela lelthyma ,positive
bengingabuye ngithini ngempela kuyathulwa phela ndaba ezikanje ≡ƒÿÉ≡ƒÿ«ΓÇì≡ƒÆ¿ ,negative
once ngathi ngizobona khohlwa angiboni nex mina ngine nkinga yamehlo ,negative
main switch bakithi ,negative
nowami wathi uyofuna umsebenzi ngathi cela angihlalele phansi ≡ƒñú ,negative
"dear haiboooo we tired of jennis disrespect towards other mates,this is beyond manje who talks to people like that haiboooo bbtitans ",negative
onassis z ngenzeni manje but thats music to my ears bruv gqe ,positive
uthandonesthemb but guys macele sheΓÇÖs not hundred percent right up stairs u cishe afane no sne ,positive
joy zelda mojalovetv guys asibeni realistic uzoboshwa kanjani icala lingavuliwe the abused yena akanankinga infact she went on to say that abuse in her eyes is when you show injuries and uthi siyacela only hits and doesnt leave injuries ,negative
mara ushilo unapoleon bonaparte ukuthi china will rise and shake the world ,positive
"nka nesta ayibo owaselamont, wamphika manje umkhaya wakho ≡ƒÿé≡ƒÿé ",positive
bayede wena ndlovu siyafisa bayede zulu ukuba abohlanga bahlomule kakhulu ezimayini njengoba elika mthaniya linothe kangaka kungabi amathuba omsebenzi kuphela kodwa bebe namasheya namalungelo nobukhosi bethu bubenazo izimayini kuze bungathembeli hulumeni ≡ƒæÉ≡ƒÅ╛ ,negative
we call it khuluma bazolalela leyi phuku phuku ,negative
imagine thle ≡ƒÿ¡≡ƒÿé≡ƒñú kubkhuni ukuba indoda ngempela ,negative
sbonelo yini ngempela ≡ƒÿé ,positive
yoh ngake ngawΓÇÖbheka ngaze ngahlala phansi eairport kwaluma nekhanda istress ngakhumbula kudala ukuth iΓÇÖd kept them in an earrings case ngibalekela ukuwΓÇÖlahla in my handbag ≡ƒÿ½ all the best finding yours ,negative
m sure u in south africa manje ,neutral
