language,sentiment,english_code_switched,selected,selection_note
Sepedi,positive,10869,100,Selected easy-to-read English-code-switched records.
Sepedi,negative,11345,100,Selected easy-to-read English-code-switched records.
Sepedi,neutral,2882,100,Selected easy-to-read English-code-switched records.
Sesotho,positive,970,100,Selected easy-to-read English-code-switched records.
Sesotho,negative,1575,100,Selected easy-to-read English-code-switched records.
Sesotho,neutral,467,100,Selected easy-to-read English-code-switched records.
Setswana,positive,1440,100,Selected easy-to-read English-code-switched records.
Setswana,negative,2365,100,Selected easy-to-read English-code-switched records.
Setswana,neutral,934,100,Selected easy-to-read English-code-switched records.
isiXhosa,positive,2307,100,Selected easy-to-read English-code-switched records.
isiXhosa,negative,4063,100,Selected easy-to-read English-code-switched records.
isiXhosa,neutral,2415,100,Selected easy-to-read English-code-switched records.
