Clean_tweets;Labels
haibo zenzeni iy’ngane kangaka 😳 ;positive
xhosa sozehayi khona akekho kwisixhosa ;negative
vsadieoktse cishe ngathi dudlu ntombikwaphazamisa leziphongo ezivelayo ngemuva😁 ;negative
hlanga za ingxaki bayabhora abantu kule app sometimes 🤣🤣🤣🤣💀 ;negative
athisfaction soze ngesikhathi sikabani ;negative
tkdee12 lol imagine soze😂 ;positive
fikz the cook portiagumedesa 🤣😂🤣 “uthele ne lemon juice uthele kangaka yhoo i didn’t measure” i love this hle bantu 🥺 ;positive
phomolodanger we must cancel soccer kancane and focus on eskom ;neutral
missjacksa ndiyityile mfondini ubufuna ndikuphe ;negative
monene17263040 nandossa groblersdal lets hope awukaze ke wahamba nomjita from enkwarini 🤣🤣 ;negative
she does aside mmelis part unless u werent watching the show bbtitans bbtitans2023 ;neutral
ogdegroot isawtshisa lawallabies ngomso 😂 ;positive
lol as for ukuwa 🤣 ;negative
yinkkp mbulelo ndlovu6 natsi ngicela sente inetball match or something 😵‍💫🌝🌝 ;positive
947 robertmarawa were are the numbers of to call and for voicenotes kaloku ngubozamah ziphi inumbers 😂😂😂😂 ;positive
soze 🙅🏻 ;negative
qokani jonga the guy has a snake ;negative
indliwa kanjalo umsila wenkomo wena ntombazane datemyfamily ;negative
sonkwala profit made my brother and congrats hope youll add me for a voucher ngomso ;negative
ramalokot intloko yakhe ingathi zezantaba zase panhoek😅 ;positive
ingaske kuthwe kuyaxokwa 💔 ;negative
nicabanga ukuthi why sithembuza being surrounded by gods awuhlulwa ilutho angiphathi uma besemandleni abo kanje njengo reneilwedc muntu wesifazane remember who you are noma yini abayithintayo multiples if besezimini benchala inchalo grow better ;negative
thamsanqabonga2 well done champ thamsanqa 👏🏽👏🏽 ;positive
mpumiln ayikho ke leyo ngayokuthengela imvubo ngiyaktshela ;neutral
docphuti itayma lizenzela isthembu ngasese bona bayasi moshaabananhlonipo labantwana😁 ;negative
eskom sa just take it away once siphele ixhala ;negative
i think mseleku must abort mission with number 5 and having more kids…ingxaki zakhe zithi fourfour masihlalisane 😳😭💔 ;negative
sbizo mfoka jobe jonga apha am not in a contest even in hospital there are cases doctors cannot revive because theyre beyond any assistance of concern should be how these soes had their tyres punctured and how to bring them to life so stare capture is not repeated ;negative
goddess070626 ayanda yandiey iza kaloku😊 ;positive
umzali ohamba ne soulmate yam etown preventing me from talking to her 🚩🚩🚩🚩 ;negative
hay i dont understand you guys you were celebrating saying thabang is avoiding nelisa now youre crying when nelisa says she doesnt like him apply the same energy kalokuworld yelisa daynelisa the content listans bbtitans ;negative
mbuyisenindlozi uyayivubela impi uyayivubela usuthu shapa amazulu shapa sry doc🤣😂🤣😂🤣 ;positive
thechosenone95 yini inkinga yakho 💀 ;negative
nam’gcina k’qala u babes 🤣🤣🤣 ;positive
juliree mts lomali yanikwa yonke ukhuselwa noloyiso kaloku😅 ibag zabo zihlala zigcwele yimali these days ;positive
gautengprovince lesufi gpgsocdev iyhoooo siqhelwa kakubi kodwa apha💔😩 looo panyaza yerr uyadika lamntu ;negative
thuli zl lol khange ivulwe 😂 ;positive
heysunil you know me and subscriptions imagine me paying for twitter videos 😂😂😂 soze ;positive
djmpumisa mpumi wakukwekwezi kanti umuhle kangaka beautiful struu nasi ;neutral
bulela sorry 🙏 uhambe kahle bafo ngesizulu sakithi awuhahiswa umshado ;positive
sphe impilo ayikho fair mfethu ;negative
news24 ai ibuhlungu lento ;negative
🎯 anginawo lamadze isikhulumile indlalifa sjava ;negative
happy birthday to my brother bear costa mbu mbu32 🥳🎉🎈 more life mntasekhaya ❤️ ;positive
mamaetonprayzer angikho right 🤞😭 ;negative
denziltaylor amanzi uwezwa ngobhoko ;neutral
samora mangesi welcome to the 3rd floor mhlekazi enjoy your day ;positive
unelisa ebehamba ne theme nje bethuna that eyeshadow is not that bad 🤭bbtitans ;negative
i network nayo once wa shift nje kancane ku spot it’s game over 😂😂😂 ;positive
siya zita mavundlanokwazi andikavisisi ncam ba why ku dry nibahle kangaka 👀 ;positive
senzo ts bese ngingasaboni lutho nhlobo🥹🥹🥹🥹 ;negative
neliswa maleh ndiyabulela neliswa 🤗 ;positive
doof star 07 jelelmelusi ngempela 😊 ;positive
he left ke after he saw uba i was alone but zange angatsho uba ebekhona umntu ebekwam qha inoba ndiyazile uyeza and that person left😭😭 ;negative
ludumo well done champ mhlekazi wam 👏🏽👏🏽 ;positive
minikazih oh yini wasilahla kaloku ndizakubona soon im sure ;negative
ingxaki nguwe nontombi ;negative
pauljobe11 humphreycthole chrisexcel102 ey kwamina ngididekile umuntu omdala kangaka ;positive
well done bethuna 🥳 ;neutral
one thing ill never be able to do is fake liking someone or something oon social media like do people have any idea that theyre known in real life hai soze fake liking people never ;negative
neo url ive learnt to not just look at theirs but put it side by side with your own then be honest with your assessments kengoku ;neutral
mahlangububu mrteevee yes big but mostly rented evn the cars kenya only built after 4 seasons porsha too evn in potomac giselle just bought a house last year at her age karen was also renting for the first 5 seasons anywho perception yewealth azizufanaluv amp light wethu ghel akhonto ❤️❤️❤️ ;negative
hehe hai amadoda yintoni ewrongo ngoku apha ;negative
snekhumalosa inganekwane leyo andre wants sans to develop horns whilst listening to lembudane yakhe eintlik whats so special about andre amp why does he have to be kept until end of march 2023 why moet huis to gaaaaaannn ;neutral
uyaxoka ke labhuti krwala jiiijiki uyamazi usizwe kudala waba nje njani gqeberhatheempire ;negative
melikhayal3006 makayekwe bethuna singabanye siphila isnomakanjani 🤣 ;negative
krocisub leratomabuza haibo bethuna😂🤚 ;positive
sanelezulu coz akafuni ukuyeka inyama ;negative
mosaroccoii yey inkinga yodwa ;neutral
fanele ndaba cabanga ngoma mina uhambe ngo 4 ingakho ngithi manje ;negative
cabbie sa dazzo s no creatine igrand akaze ngakhumuka izinwele kumele uphuze amanzi amaningi nje kuphela… as you should though ;positive
kelvin momos ixesha is such a beautiful song🥺🤌 ;negative
msmolobi imbi into wes kuthwa mhle umsebenzi wakhe nje ezimoshela nje ;negative
phethani4 🤣🤣🤣 udelelile mhlekazi ;positive
lebogang loks capetowncityfc 😂😂khohlwa this is cape town city ;positive
bhekamchunu khuphuka lapho macingwane ukhozi fm angibambe ithambo emndenini wami wonke engeza nalaphaya empumazi sigiyangengoma ;positive
indinika ixhala mna lonto bc how have they all reached international consensus on the matter i mean the level of unspoken collaboration that this would take ;negative
madlala tm khululeka babmadlala ;positive
sicelo mchunu phakade sawubona intaba ikhenana unfortunately i dont know igama likamfundisi ngmazi isbongo ;neutral
prochitje shanematlala soze kutshintshe ukuba yinkwenkwe ukuthetha lekaka uyithotheyo bhokhwe ;negative
pmb and surrounding let’s meet tomorrow at 11am siyavula please support our launch inyama yenhloko isifikile emphithi ;neutral
destinyzee yavele yajika indaba quick fast ngokushesha ;negative
wrldofyurei yhey uze kakubi 😭😭✋🏽 ;negative
bantfu bafuna inyama😅 ;negative
sundays are indeed for lovers ke bethuna 🥺❤️ ;positive
made ig story and app story today 🥹🧘🏾‍♀️🧎🏼‍♀️ kancane kancane kuyavela ;neutral
