sample_id,language,text,sentiment,code_switched_english,english_token_count,word_count,source
isixhosa_001,isiXhosa,y’all are keyboard warriors y’all don’t vote kaloku idolssa,neutral,True,1,12,Twitter
isixhosa_002,isiXhosa,soze i need the heat,neutral,True,2,5,Twitter
isixhosa_003,isiXhosa,bhele what bout nhliziyo 🤔🤨 hay maan jonga 👇🏾,negative,True,1,7,Twitter
isixhosa_004,isiXhosa,monsieurponto mhlekazi why do you not add prices 😅 or are they steep,positive,True,7,12,Twitter
isixhosa_005,isiXhosa,and impilo by kelvin momo ft kabza for good measure you know,neutral,True,3,12,Twitter
isixhosa_006,isiXhosa,lolli native for real check my pinned post soze uzisolemama mixtape loading,neutral,True,1,12,Twitter
isixhosa_007,isiXhosa,ill just work on maintaining this level at the very least okwamanje 😪🙃,negative,True,5,12,Twitter
isixhosa_008,isiXhosa,utywala make us happy bafanas,negative,True,2,5,Twitter
isixhosa_009,isiXhosa,me4opresident soze sana feluthando,positive,True,1,5,Twitter
isixhosa_010,isiXhosa,by khanyi inkinga ubhuti akaqali ukubuza lembuzo enokugcinazela abasebenzi and yena usuke ekhulumela ama business as usual i think abantu bakhathele lol,negative,True,3,22,Twitter
isixhosa_011,isiXhosa,teackay nakulenyanga thamsanqa im starting to think its a hobby,neutral,True,1,10,Twitter
isixhosa_012,isiXhosa,usuke unenkinga uma uyilenhlobo engakhuzekiakekho okwazi ukukukhuza and nawe ngokwakho awukwazi ukuzikhuza ay kusuke sekubheda kakhulu ngempelakuhle ukukhuzeka,positive,True,1,18,Twitter
isixhosa_013,isiXhosa,im in this training session and everytime this trainer makes a mistake she says oopsie 🤣🤣she looks 50 huns will be huns bethuna,neutral,True,8,22,Twitter
isixhosa_014,isiXhosa,uwfm88 106fm blaqmaci imibilisoumamthembu welkomumbulelo smileusiphe mbetshuuayabonga mnyaziuayabulela mantyikunye no nokwandisa jamani enkosi ndisemchonco,positive,True,1,14,Twitter
isixhosa_015,isiXhosa,amadoda yintoni i”we’ll see”,negative,True,2,6,Twitter
isixhosa_016,isiXhosa,once you block me im blocking you back and soze ndiku unblock’e,neutral,True,4,13,Twitter
isixhosa_017,isiXhosa,nomonde sky somusa esmall street so he can buy everything at a low price bese sodla inyama kwa mai mai or busy corner uzakhetha,neutral,True,5,24,Twitter
isixhosa_018,isiXhosa,slunce14 e mma nta rona setse re tsamaa bo 12 mme ra tshela hela gape the clock is ticking wa bona,neutral,True,2,20,Twitter
isixhosa_019,isiXhosa,lol umgwinyo is hilarious like why are the eyes popping “lutho othuswa yinton” “akhonto ma 👀”😂,negative,True,6,15,Twitter
isixhosa_020,isiXhosa,i need to back to dating so that ndizophinda ndibe shy again because yintoni le bendiyi jaiva kula cofi izolo 😢,negative,True,4,20,Twitter
isixhosa_021,isiXhosa,zeziminqweno and u know why ndikujongile 😃,positive,True,2,6,Twitter
isixhosa_022,isiXhosa,i’m currently on a staycation with my friends and all i can say is that busihlulile utshwala 🤝,negative,True,9,18,Twitter
isixhosa_023,isiXhosa,ntuliondla not mfjones he is our top scorer nangoku its not much,neutral,True,6,12,Twitter
isixhosa_024,isiXhosa,thamsanqa hi thamsanqa thank you for contacting us please note that we have responded to your dm,neutral,True,8,17,Twitter
isixhosa_025,isiXhosa,gushgirl yanga co pe is dull bra akhonto apha indawo zemandi zise kasi only,negative,True,2,14,Twitter
isixhosa_026,isiXhosa,oh bethuna umntu wam love and light kuye❤️,positive,True,2,8,Twitter
isixhosa_027,isiXhosa,sinomlambo light and strength my dear sister may her beautiful soul rest in peacejoooh bethunana taxi drivers,neutral,True,2,17,Twitter
isixhosa_028,isiXhosa,i need to get myself a phone as in yesterday bethuna 🕯️,neutral,True,3,11,Twitter
isixhosa_029,isiXhosa,uthabowisdom kuthiwe you know what youve got a good heartingxaki ndim next thing uyotyisa u thabo enext doorwena dololo ukutyiswa ubanjwe nge jab yeerrr amankazana afundileyo,negative,True,4,26,Twitter
isixhosa_030,isiXhosa,kutheni ingathi ugezeleka a bit too much njena umicah,neutral,True,2,9,Twitter
isixhosa_031,isiXhosa,if i was a pastor i would make the congregation sing ukholo lwami in the beginning and end of the service every sunday,positive,True,11,23,Twitter
isixhosa_032,isiXhosa,aya dladla 🤣🤣🤣they dont care uziphe ixesha n listen to their conversations ba lapha emhlabeni 4 ubumnandi qha,negative,True,3,17,Twitter
isixhosa_033,isiXhosa,whoever laced that cyanide clearly didn’t put enough ngicela nimqedele 🙏🏾,positive,True,1,11,Twitter
isixhosa_034,isiXhosa,abuttiitshepsyd asekandaba zama enewcastle amanzi amancane this one,positive,True,1,8,Twitter
isixhosa_035,isiXhosa,destinyzee we are busy selling condoms to enhle demand is high kancane ngenganekwane ye titties,neutral,True,3,15,Twitter
isixhosa_036,isiXhosa,sinomlambo i dont know the pain of loosing a child but ngyakwazi ubunzima bokukhulisa umntwana lapho sowucala uku relaxer n this happen askies mamakhe,negative,True,6,24,Twitter
isixhosa_037,isiXhosa,you guys were not voting for mpilo yhooo bethuna idolssa,positive,True,3,10,Twitter
isixhosa_038,isiXhosa,ayathandwamatt back in your twitter for web era yho uxolo friend 😭😭😭😭,positive,True,2,11,Twitter
isixhosa_039,isiXhosa,lizwi g uxolo you being active ku twitter tells me uright apho ukho and im glad get some rest ♥️,positive,True,4,19,Twitter
isixhosa_040,isiXhosa,radio2000 za glenlewissa nathi ndamase lelomzaca theglenzitosuperdrive i feel sorry for that guy cause udlulwa iskhathi esibalulekile kakhulu empilweni youthendala 985mhz montclair durban,positive,True,4,23,Twitter
isixhosa_041,isiXhosa,were honored indlalifa mfo ka jama words cant express the gratitude 🙌🏿🙌🏿🙌🏿❤❤,positive,True,3,11,Twitter
isixhosa_042,isiXhosa,shantel tee haybo this woza ngikvulele indlela was universal kanti😃,positive,True,2,10,Twitter
isixhosa_043,isiXhosa,mashudu m scene a scared the shit out of me but b is hilarious iyosuka impi kulaba bobabili rasta usile se moer,neutral,True,5,22,Twitter
isixhosa_044,isiXhosa,siyamtandagwija ewe uyabuzwa okanye you just mention a name njeee,positive,True,3,10,Twitter
isixhosa_045,isiXhosa,thuli zl lol khange ivulwe 😂,positive,True,1,5,Twitter
isixhosa_046,isiXhosa,me phelokazi soze ke xandikhona 😳,positive,True,1,5,Twitter
isixhosa_047,isiXhosa,kingdon za in my funeral nizodla amasi nedokwe kudula kabi ukudla,neutral,True,1,11,Twitter
isixhosa_048,isiXhosa,maerronxumalo phofu vele u are a hooligan 🤣🤣🤣🤣,neutral,True,2,7,Twitter
isixhosa_049,isiXhosa,😂😂😂 i’m even ready to move on from vat now kule plantation because i feel like akhonto that i don’t know pha 😭,negative,True,8,23,Twitter
isixhosa_050,isiXhosa,oscarnkululeko kancane kancane please theres not g,neutral,True,2,7,Twitter
isixhosa_051,isiXhosa,xolamagau when mine was doing gr1 ndandisiya at least once a week i even started buying from that school shop iyadura impahla yesikolo,negative,True,7,23,Twitter
isixhosa_052,isiXhosa,sosh lwana honestlyit looks like a certain poisonous something something 😭soze ngayishutha mina🤣,negative,True,2,13,Twitter
isixhosa_053,isiXhosa,this is why ndithuma kemnake umntu makasebenze naye bethuna while evasa umntana i will prepare his lunch mntakabawo,neutral,True,5,18,Twitter
isixhosa_054,isiXhosa,mateboho ml jonga 😉see you on the 26th february 👍,positive,True,2,9,Twitter
isixhosa_055,isiXhosa,letoabarosemary shia legodi nami ngicela ibackdoor hook up please,neutral,True,1,9,Twitter
isixhosa_056,isiXhosa,how will she then spend her allowance soze ebe ndim,neutral,True,3,10,Twitter
isixhosa_057,isiXhosa,madiboity what do you know mhlekazi,positive,True,3,6,Twitter
isixhosa_058,isiXhosa,love you loads ke bethunana🙃❤️,positive,True,2,5,Twitter
isixhosa_059,isiXhosa,honestly there must be some smart engineers somewhere who can resolve the maintain backlog yintoni ingxaki bethunana,negative,True,5,17,Twitter
isixhosa_060,isiXhosa,zinzeka naijahottest makayo lala bethuna because what is she saying 😂😂😂 uyaziva,positive,True,4,11,Twitter
isixhosa_061,isiXhosa,khosi please go to yemi abegbbtitans,neutral,True,1,6,Twitter
isixhosa_062,isiXhosa,pallnandi inkinga laba bavele basimithise😂🤣😂🤣this will end in nan and pampers😂,positive,True,3,12,Twitter
isixhosa_063,isiXhosa,zeencle m lona what if doro le innos friendship ends and then go ba le friendship feud engwe mara anyways nna ke ready for izindaba👀,positive,True,3,25,Twitter
isixhosa_064,isiXhosa,mna ill always ask why umzali wam prefers my little sister over mna while ndingahluphi mnawhats with abazali protecting abantwana oko bayaxabanisa kodwa😏,negative,True,3,23,Twitter
isixhosa_065,isiXhosa,zamaswazimadon4 mtamerri he is consistent jonga 🤣,negative,True,2,6,Twitter
isixhosa_066,isiXhosa,sivvgobozi inyama leyo uyithandayo qha ke awuyingamandla etywaleni xa unyanga i bubbly,positive,True,1,12,Twitter
isixhosa_067,isiXhosa,fikz the cook athigeleba 😂 ngicela le recipe,positive,True,1,7,Twitter
isixhosa_068,isiXhosa,if i could amasi would be my every day dish🥺,neutral,True,6,10,Twitter
isixhosa_069,isiXhosa,this was black motions intro at kunye🔥🔥🔥,positive,True,2,7,Twitter
isixhosa_070,isiXhosa,tshezi bm lol early 80s gang kaloku 😭🤭🤭🤣🤣🤣,negative,True,1,7,Twitter
isixhosa_071,isiXhosa,guise please plug me nge toner engekho harsh engaduri pls,negative,True,2,10,Twitter
isixhosa_072,isiXhosa,omphemetsemosh5 maxaba zar qhawe l danki ngiyabonga yho umuntu wafuna ukusifaka angithi yibo masithi sithanda natural look bathi were stingy,negative,True,1,20,Twitter
isixhosa_073,isiXhosa,mercychauke9 ekugcineni you want the activity vele 🫣,neutral,True,2,7,Twitter
isixhosa_074,isiXhosa,if une chance yotsweba umbane mtswebe anye,negative,True,1,7,Twitter
isixhosa_075,isiXhosa,lmkonqo 🤣🤣🤣🤣 kaloku you were busy finding notes from donkey years ago awatsho ubana you are packing,negative,True,4,16,Twitter
isixhosa_076,isiXhosa,collen km she switched from star to dove then boom hoe mode,neutral,True,1,12,Twitter
isixhosa_077,isiXhosa,mnqobiyazosa ngihleka ungakasho lutho 😅 i really enjoy your character ♥️big up,positive,True,3,11,Twitter
isixhosa_078,isiXhosa,vandal707 khawuphumle in the meantime kaloku,positive,True,1,6,Twitter
isixhosa_079,isiXhosa,sithabileng iyafanabut this specific variant kuthiwa isuka eusa impela akvalwe lutho engenayo ✈️ emzansi,positive,True,1,13,Twitter
isixhosa_080,isiXhosa,niwatholile ama first twerk of the guys or,neutral,True,2,8,Twitter
isixhosa_081,isiXhosa,ulibonile ixesha or uover seas,negative,True,1,5,Twitter
isixhosa_082,isiXhosa,not 45kgs saying ngicela ihot dog and chips now i must peel amazambane and fry them kodwa zalani anginamona,negative,True,6,19,Twitter
isixhosa_083,isiXhosa,happy birthday to my brother bear costa mbu mbu32 🥳🎉🎈 more life mntasekhaya ❤️,positive,True,3,12,Twitter
isixhosa_084,isiXhosa,this is how idyans get tempted zivele ziyilahle impahla 🤣you can have me any way you wantheyi satan 😩,negative,True,8,18,Twitter
isixhosa_085,isiXhosa,my neighbour and their friends love a house party mntkbw sbwl a quiet sunday evening indoors but bathe “soze” 😂🥲…at least they’re having fun 🙃,positive,True,9,25,Twitter
isixhosa_086,isiXhosa,batswadi ba reng hle😭😭its important to remember gore social media is small bethuna😭😭,negative,True,1,14,Twitter
isixhosa_087,isiXhosa,bhele thembisile q ewe please find other spots ezi cute but kubekhona utywala,negative,True,2,13,Twitter
isixhosa_088,isiXhosa,i missed ugogo 😅 she was my fave isencanelengane,positive,True,4,8,Twitter
isixhosa_089,isiXhosa,my mom rushing home to make eggless bcoz umhlangano pancakes for us before kungene isabatha❤️ushembe wangena wazinza ekhaya🤍,positive,True,3,19,Twitter
isixhosa_090,isiXhosa,c mphiwes they must send child support refunds will be done after bethuna 😂😂😂,positive,True,5,13,Twitter
isixhosa_091,isiXhosa,yoh i can’t wait for the weekend ndifuna ulala 😭,negative,True,4,10,Twitter
isixhosa_092,isiXhosa,leebellarossa okanye abhubhe ziintlungu because iyabonakala ibuhlungu lanto 😢,negative,True,1,8,Twitter
isixhosa_093,isiXhosa,oaks were fiending for disappearing nudes in the dms ngela xesha what a dark time 😂,positive,True,4,15,Twitter
