sample_id,language,text,sentiment,code_switched_english,english_token_count,word_count,source
setswana_001,Setswana,also these noodles bang di gaisa rubbish ya maggi,neutral,True,1,9,Twitter
setswana_002,Setswana,really tough i know but hang in there gotlo kopana,neutral,True,4,10,Twitter
setswana_003,Setswana,eish nna tota ga ke tsala ya mogote le eseng,negative,True,1,10,Twitter
setswana_004,Setswana,eyes on the ball i hope o nna ole nosi coz oka dira jang ga batho ba gadikile zwi namnam,positive,True,2,20,Twitter
setswana_005,Setswana,i believe in nature ntate waaka,neutral,True,1,6,Twitter
setswana_006,Setswana,yey bese ksasa nithi how are you keeping up,neutral,True,3,9,Twitter
setswana_007,Setswana,bosigo bo bo teller hlm ankr lona la have r so nna re chat haosqy o teng hlm dm ur no re organise,negative,True,3,23,Twitter
setswana_008,Setswana,and engwe etlo irang gore meno a rona a bole kego tshega ledi ex tsa rona,negative,True,3,16,Twitter
setswana_009,Setswana,no maarn abantu baka facebook,positive,True,1,5,Twitter
setswana_010,Setswana,nagana mara this happening to one yoh buhle must be helpednako eo such happens each day go thata go ba ngwanyana,negative,True,2,21,Twitter
setswana_011,Setswana,the meal i made for myself hore nka tshola hape,neutral,True,2,10,Twitter
setswana_012,Setswana,nayo sengiphaphe ka so earlier on bese its going to do me like this,positive,True,5,14,Twitter
setswana_013,Setswana,o tsene ke phefo go fi a,neutral,True,1,7,Twitter
setswana_014,Setswana,multiple blessings on your birthday ntate gana,positive,True,1,7,Twitter
setswana_015,Setswana,a padile maitiso betsho kene ka itirela mathata ka 217 jaanong 5years later go suffer a nna mogoa dira wa di ikgoela,negative,True,2,21,Twitter
setswana_016,Setswana,yaaa o xapo exactly what i felt ka maloba,neutral,True,2,9,Twitter
setswana_017,Setswana,talk your talk ntate sello,neutral,True,1,5,Twitter
setswana_018,Setswana,i ll check it out ausi and confirm of i ve received the readings,neutral,True,5,14,Twitter
setswana_019,Setswana,nna makuku le jaana ya gana ya ko ntlong but the mobile one is fine,negative,True,3,15,Twitter
setswana_020,Setswana,it s the last part this is why bese niyakwata when someone doesn t plan anything big akuthi lunch,negative,True,6,19,Twitter
setswana_021,Setswana,feat check b hey mama s touch good music and music and music and mmino,positive,True,4,15,Twitter
setswana_022,Setswana,i want to be a responsible citizen and report this mess to the authorities mntase thuma mina innit,negative,True,6,18,Twitter
setswana_023,Setswana,bangwe ba jelwe maabane bosigo ga ke rogane ke a bona ke hetisa molaetsa,neutral,True,1,14,Twitter
setswana_024,Setswana,ke ipotsa gore nekee sinkisiwa keng that tweet,neutral,True,1,8,Twitter
setswana_025,Setswana,sadlala ihaba lamangisi nje kwasekuqaleni abadlali base english will give a 3 years bese kuphele nya,negative,True,2,15,Twitter
setswana_026,Setswana,th o gakologelwa nako e ne thuso a roga bolo ya sontaga,positive,True,1,12,Twitter
setswana_027,Setswana,hi themma you look familiar chat ya teng ithele ele awks gore i look familiar,neutral,True,2,15,Twitter
setswana_028,Setswana,jaanong keng a re eiffel tower ya n y marathon,neutral,True,1,10,Twitter
setswana_029,Setswana,matla sona dankie ditsala a monate wa mmino wa sedumedi 88 8,negative,True,1,10,Twitter
setswana_030,Setswana,mine always silent when i sleep angfuni nje kutsi kubhazamiseke emadloti ebusuku nasikhuluma bese kuyatfusa ngekutsi ku ringe,neutral,True,4,18,Twitter
setswana_031,Setswana,dont be disrespectful ke mogolo mme oh hebanna,positive,True,2,8,Twitter
setswana_032,Setswana,etla ho ntsha bathong why are you guys losing le mbhorile shem i remain a khosi though,negative,True,5,17,Twitter
setswana_033,Setswana,ga ke batle cod payflex is my new bestie or ke patala maar alles once off electronically,positive,True,3,17,Twitter
setswana_034,Setswana,i sometimes get excited then i read the whole email bese ngithi welele,positive,True,3,13,Twitter
setswana_035,Setswana,we hear u sir from welkom doorn etsa fela ntate,neutral,True,1,10,Twitter
setswana_036,Setswana,or when they braiding them at the end and you start falling asleep but you occasionally wake up aggressively because bao goga botlhoko,negative,True,10,23,Twitter
setswana_037,Setswana,feels like a hip hop friday sentle sentle go labokae,positive,True,2,10,Twitter
setswana_038,Setswana,go neng a re hemisa botlhoko admin gave him a whiplash,positive,True,2,11,Twitter
setswana_039,Setswana,o pila thata whereby i cant even recognized you,positive,True,3,9,Twitter
setswana_040,Setswana,ijoo kana o rata attention jang the reference mxm nte ke didimale,positive,True,1,12,Twitter
setswana_041,Setswana,bjale nkane le se no a fihla magole awe a lena la a fihla thaka le se ba poste le ba pipile le difahlego,positive,True,4,24,Twitter
setswana_042,Setswana,ao ntate lekota did malema allow them near the microphone,positive,True,3,10,Twitter
setswana_043,Setswana,e palama makhubu a radio tshipi ya majeremane 809 audio bouquet mahikeng,neutral,True,1,11,Twitter
setswana_044,Setswana,a go tlatse ka 1 authi ya kwa renkeng then bosigo a go founele be a re babes ke nna yo le wa zak,positive,True,4,23,Twitter
setswana_045,Setswana,i hear you loud and clear ausi,positive,True,3,7,Twitter
setswana_046,Setswana,miles wee nna i love you therra gape i can t live without you re dira jang,positive,True,6,17,Twitter
setswana_047,Setswana,don t fold ausi folding is for clothes,neutral,True,1,8,Twitter
setswana_048,Setswana,wait rainbow is cheaper than legae,neutral,True,2,6,Twitter
setswana_049,Setswana,ake sigulise labo clever baka gb whatsapp text him or her uthi phuma sengifikile bese uya ku delete for everyone ngokushesha kuvele kunyiwe,negative,True,1,23,Twitter
setswana_050,Setswana,dj a tshameka pina ya mang,neutral,True,1,6,Twitter
setswana_051,Setswana,former mamelodi sundowns coach pitso mosimane was asked on why he doesn t take coaching job,negative,True,4,16,Twitter
