tweets,labels,predict_name,Unnamed: 3
@user relax e tlo tsena,negative,Sepedi,
@user go dirwa ke eng gabotse,positive,Sepedi,
@user @user gordons e ya lena e tlo le yetsa okare le na le di voice tsa bana,negative,Sepedi,
@user la bona mara we dont need white wedding,negative,Sepedi,
@user wareng ware net ge aka fegolla se borala,neutral,multi,
bathong bana le bona ke bao ba tsamaya le zandilelittle traitors,negative,Sepedi,
@user  mara e hela yalo man of god ngwana ga oumama,positive,Sepedi,
@user happy birthday i hope you enjoy your day,negative,multi,
@user ke line ya go kgopela sego nah,positive,Sepedi,
@user lol ka nnete wena nkgolwe fela,negative,Sepedi,
the guy who was assisting me at home affairs was a pedi gent and shem i was trying to communicate with him with my broken and limited tswanai think he appreciated the fact that i was atleast trying because mazulu a lapisa with not knowing other peoples languages,negative,Sepedi,
oh my goodness modimo wa phela,negative,multi,
@user sa lebala safety belt ntwanasafe travels kill em son,negative,Sepedi,
@user beauty is in the eyes motho e e gona a tsoga,negative,Sepedi,
@user @user sa mpolaya ka nyao rata,negative,multi,
enkare @user e kare tlaks ya tima ma bone ko lille for bafana bafana,positive,Sepedi,
@user @user mathata ha fele waitsi,negative,multi,
mjolo o nyaka okare o ne medical aid otherwise otlo hwetse di beds di tletse ko bara namile wa hlokofala,negative,Sepedi,
@user hantle bothata ba hau le li 1 keng,negative,multi,
tjo themba tsoga ebile mpho o tshwara ke boroko stege se sea bora and also imagine o tshwere stege ka sekgowa the whole time,positive,Sepedi,
@user i cant see myself working out with someone who has a kid on the basis that if am at a point where i have to discipline the kid id be bias and i would be constantly reminded that ngwana ase waka or when we have an argument the kid will be us,negative,Sepedi,
@user fridge e feng nou aowa youll end up throwing it at me mos dangerous ah ke tla gotlella gape ka lemala,negative,multi,
@user bona shoot your shot at mlungu girl,positive,Sepedi,
o rate motho ago tlabise dihlong mo gare ga batho,negative,multi,
@user @user fr bruhnow yana nkabe bale busy kaizer chiefs this chiefs that,negative,Sepedi,
eff sekhukhune region sub region fetakgomo tubatsemotho mothong,negative,Sepedi,
@user go busy goloha le borotho jwa lebaka tota,positive,Sepedi,
@user ba re ga bana molemo,positive,Sepedi,
@user ausi o le wa rona wa entertainment was having it today before hitting the gym so kaore kaitse wena o ngwana wa ka jeko o tla ntlotlela gore e bidiwa eng,neutral,Sepedi,
@user batho ba tsebang ho pheha ka mokhoo le sukulisang,positive,Sepedi,
@user ke sa ja monono,positive,Sepedi,
@user at least re nale di connection re raya lona,negative,Sepedi,
gaba tlogele precious megwete ya bela bela because of the truth,positive,Sepedi,
ward 96 registrations @user kodumelo primary school in tshwane hannes coetzee actionsa candidate making his rounds @user@user,positive,Sepedi,
@user ka nnete kgale re kwa ba re ngwaga wa fela ebile re lata 40 lefase ga le bonthe go fela,positive,Sepedi,
@user kampane ke bolaye ke bjala than mjolo,negative,Sepedi,
@user mine didnt change but they ignore me now ke taba tsa bo hai hai,positive,Sepedi,
18 years ago nou ke shapo kadi ps mang mang,positive,Sepedi,
@user@user lalela bra nawe umubi sani namasimba ancono knawe nesthombe esodwa sa 217 because thats the only better pic you have try something else yavuza wena nasi skhaftini segolo bo,negative,Sepedi,
@user helehelele banna le jele lesela ntho tgabotse,neutral,Sepedi,
@user  ka nnete sweetheart,neutral,Sepedi,
@user ke nyaka gore go tsheke kego rage now so,negative,Sepedi,
@user masego le matlhogonolo ke ao hle o gole gole,positive,Sepedi,
ithemba lami lona ndonyuka nalo @user @user,negative,Sepedi,
@user @user o ikeditse putin le ena ka bona,positive,Sepedi,
@user @user bana ba batla ntsa mme tshelete a teng ithele a nkopisa tlhogo,positive,Sepedi,
on this app batho ba tella,negative,Sepedi,
@user lmao used her as a meme man onale swele ha,neutral,Sepedi,
@user @user ke batla ho blocka mamello for 2 day a ka lla seboko,neutral,multi,
@user modimo o tla re sheba,negative,Sepedi,
please call ndabezithaheban o sa itheta o sena airtime,positive,Sepedi,
@user i was in there for less than a minute cause izindaba ta batho make me uncomfortable i am neck feel in a bubble bath and love songs,negative,Sepedi,
bathong sathane o tshwerwe ka morwalo once they lose positions they go on an anti eff campaign,neutral,Sepedi,
slade sa batho se robetse mo a leng,negative,Sepedi,
ekete motho o rurugile baan ke raya mo monwaneng wa leoto,positive,multi,
@user happy birthday ntwana wa ko gae o gole o gole,positive,Sepedi,
la tshela hlemotho hlapa o ye tirong,negative,multi,
@user @user go tilwe chillas e seng takeaway,positive,Sepedi,
honeng re tlhapela hara di wheelcapbloemwater le mangaung municipality must get their act right yuuh,negative,multi,
oh my god that childs language well done to standing up to a vile parent no hope for that child,positive,multi,
@user mang yooh ee bona tedu eo,negative,multi,
ke leboga modimo ke nna kgole,positive,Sepedi,
@user bula space se segolo le bophelo,positive,Sepedi,
salah missed a penalty sadio mane and team senegal qualify for qatar,negative,Sepedi,
@user  re kgopela o dire di speech ka sepedibecause this english even dribbles its own native speakersmaybe if you say we have not called for the slaughter of whites atleast for nowbut we cant guarantee what will ha,negative,Sepedi,
@user  ga ana ba a ka ba timelang mohlagase today,positive,Sepedi,
@user o mkhaya waka hlem kopa o nzame ka ya kgale e less maintenance tuu,positive,Sepedi,
@user @user ke makala ge bare o letagwa,negative,Sepedi,
@user  molala wa gona o so,neutral,multi,
keha kgantele ke vibe le banyana ba bangwe jaana i love them they are varsity students guys waitse ke kopane le batho ebe ke ja fun o mongwe keha are hela hake blaka le nkhurumetse jacket ketla tsoga mose ah guys,negative,multi,
@user  re someng le rona re sendelwe tshelete ao,negative,Sepedi,
@user ke bolela gore ke tsofetse ha ke sana mangoele a eona,positive,multi,
@user bambi ke motho o sa siamang themma,negative,multi,
@user o bolela nnete tota mare ths people they dont care about us honeywhat pains is that young in bw they dont register to vote during elections yet they complainelection dai s not a holiday is the dai to change our lives to the next generation,positive,multi,
@user @user bao ba laola ke kuku,positive,Sepedi,
@user smeg mege i think i need to start a gym so that i can be your bouncer phela u are a celeb now,positive,multi,
@user yah noo marete lawa bolela straight,negative,Sepedi,
mpho to win this one,negative,Sepedi,
@user haowa leeto le le kana,negative,Sepedi,
libo ate his piece and cut gas 1s yooh aiimy boy will be blamed for eating the one bone rib,negative,Sepedi,
@user tjoo sebono sa etsa taba,negative,multi,
@user and everyone o nagana ke airforce,positive,multi,
slade o robetse ka nnete,positive,Sepedi,
@user wa bobedi ka hara naha,positive,Sepedi,
waitsi bashimani ne ke di thaba shame i like it when the dots connect and you find out your in a triangle ke bashimani,neutral,Sepedi,
@user chominna ke taga motho,negative,Sepedi,
@user re kopa go bona,negative,multi,
thato is not going home,negative,multi,
and then they sayema pele mogolo wa feta,negative,Sepedi,
@user @user go bolela ntshe,positive,multi,
@user plus o rata mahenyahenya,positive,Sepedi,
@user sale ke e bone maabane,negative,Sepedi,
@user listen i need to hear it at groove ke tlo ema pela speaker even,positive,Sepedi,
@user @user batho bana ba thibane ha bohloko,neutral,multi,
@user ga se gore ne ba e nwa le di neibara,positive,Sepedi,
@user re emetse wena o thome the best first plz,negative,multi,
@user i respect your opinion hear is my opinion there will never be a good president in this country after tsheleteba mbeki cyril is the current smart individual yes i understand we wont all agree with his style of fighting the looting of,positive,Sepedi,
lesedi fm ke mollelwa 877 1066one of the best radio stations in mzansi @userdream it we string it 067 81 496,neutral,multi,
@user tjoo u dont lala nazo,positive,multi,
gao ba tsebe ka bo woke,neutral,multi,
@user losing half your hard work for 25k lobola,positive,multi,
@user o votse oslina gore ke re ke mosadi o feletse,neutral,Sepedi,
@user @user well done champ dikeledi,positive,Sepedi,
@user kenalo plan mara ge e fitlha nako yao rota ke makala ke ntshutse ka itebala,positive,Sepedi,
@user @user not something to eat ka nama,negative,Sepedi,
@user@user you just have to know when to lego,negative,Sepedi,
ka gore ore file bophelobophelo re bo fumanea re lebogenga re lebogengkonyana ye emeng thaba sione,positive,Sepedi,
@user aowa ke mma mongwaledi ge nka lofa di booka ditla hlakahlakana,neutral,multi,
@user @user takes time to cook mogodu,negative,Sepedi,
eish yile moto enga valekimalume its not even 7am and im already being dragged e kwale ekare wae bula lwena,negative,Sepedi,
@user lol ke a tshaba ba re nyaopes ba utswa spare wheel,negative,multi,
