sentence,Final_Label,predict_name
@user lol o dramatic stocko se teng mo lwena mos ,positive,Setswana
@user i m happy with my current piece job ausi ,positive,Setswana
 o ntate wane a tlang le mane o dieta tsa hae some people don t grow ,positive,Setswana
ka dikuku my love ,positive,Setswana
@user yeah i doubt much will be done ka kgang ya teng,negative,Setswana
 o laba poso morena wena mara in english u fihing for your job as a mp by making @user your personal attack project ,negative,multi
@user le ja sentle golo koo kwano 2 tigers ke stoki ,negative,Setswana
@user mogolo ,neutral,Setswana
@user hei re tla swa ke shock nnyaa mme gate ne ele ka bomo- music service what what,negative,multi
@user go bata phuthego ya kgotla o fiwe dipudi re te re bese re nwe ,positive,Setswana
@user @user happy womens day sivukile bo kwelakithi e nkandla kwa ngono bese ngithi happy anniversary day ku sindi mangubane ntuli e jokweni @user,negative,Setswana
@user ne ke lwala jaanong ke a bata ,negative,Setswana
@user i m being serious wena wa tshega ,negative,Setswana
@user @user @user @user yey abasakwaz nok fihla ,positive,Setswana
@user chomi ska tshega tuu ,negative,Setswana
@user bese soyodunusela lomunye ,neutral,Setswana
mogolo ne a lapile ,negative,Setswana
@user @user @user @user eh baba why would you even care if you gonna get a new one two days later niqqas with money don t want any loyalty bafuna ukuchama bese bachoma ngemoney yobugebengu,positive,Setswana
the latter akere a lil cheating never killed anyone kana jang ,negative,Setswana
@user gatwe cheating mare thata yana bathong ,negative,Setswana
@user thata maan you are doing a great job ,positive,Setswana
@user i would scream bese ngimubhanqa nodonga,negative,multi
chelete ke kopa chelete modimo ntate ,negative,Setswana
@user he e ga ke modimo tshwanetse o bue gore o lo robala,negative,Setswana
@user hehe akere kabo re sa timela jaana,neutral,Setswana
 hold on father ele nna ke tlogela go rapela ke araba phone call ya baby,negative,Setswana
atseba ho ntse ho ena le batho bacha ba ikanang ka lcd le ntate metsing ke ea ipotsa na dc le mokhothu ba reng ha ele moo eale a neng a ile a ba kalima menoana ka 217 a khutlile a tlo caigner 2022 ke selemo sa mehlolo ka hara lesotho,negative,Setswana
@user a bo re ja eng ne wena ke batla lone le 74 le le ka dirang jaana nka nona ,positive,Setswana
@user simolla kamoso,neutral,Setswana
@user ohhhh no nadia did not do shekar good visual will drop her somewhere ga a tshepagale sentle ,negative,multi
like aowa re utlwile guys ,neutral,Setswana
@user interview e ntle e ahang ausi re tlohelle ho sebedisa social media for monate more especially youth employment ele so high ke utlwile hothwe etlo ntsha diposo tsa data capture @user,negative,Setswana
@user o ikutwa jang ,positive,Setswana
@user @user molo bhut victor ayi mina ngyakhala ngezami ezimnyama asina attacking midlefied bese ngibongela amakhosi nge win isundowns isazophela induku mayiqhubeka nokungangadlalisi ujali ,negative,Isixhosa
@user you find ba baka basadi offering and platform nothing else ,negative,Setswana
@user le mo ruteng pullout game sentle ko men s conference tlhe bathong mans is slacking ,negative,multi
@user @user @user se re sisimose tog re fetsa go ja sentle rona tuu ,negative,Setswana
@user jemie areng jaanong ware o bata go nna lawn rra ,neutral,Setswana
@user bese ngishaya ibom ngathi i don t know you ain t no way im gonna be jumping and screaming ha,negative,Setswana
@user oseka thulamela thata as @user says oka ithela bao dirisitse mogo wena lenna mme ke thoka sengwe ,negative,Setswana
@user ne ke mo raa kere a ska nyatsa short courses tsa safety di kgona go nna advantage thata,negative,Setswana
@user thata mothowame ,neutral,Setswana
@user thata and such a liar also and loud ,negative,Setswana
@user @user can we have those videos ntate,neutral,Setswana
the fun i had in this session be kind to thyself ey it s a never skip monday mudhifho ,negative,multi
o botoka nna he ghosted me bro ,negative,Setswana
@user @user @user @user nah why o tshega aish wena kao ,positive,Setswana
@user tsamaiso ya sehlopha ke yona e fokolang batshietsi ba teng empa tsamaiso haeoyo ke seo se entseng free state stars e fokole,negative,Setswana
@user thata gore,neutral,Setswana
@user thata babe ,neutral,Setswana
@user @user jaanong man u e tsenyetswa eng neh bathong ,negative,Setswana
@user ke tshwana le wena kat,neutral,Setswana
@user why is going on kana grand oa ba raa cocaine or jang,positive,multi
@user heban wang tshega ,negative,Setswana
wanted to see this hun but a re ke rest i mean yea ke a lwala but i just wanted to see you uno ne okare nka lela,negative,multi
same even going to ask for uniform ke ntate wa thapelo from now on ,negative,Setswana
@user ra tshwana i have been starting since i gave birth 2 years ago ,positive,Setswana
@user @user kana kgang,neutral,Setswana
@user o buisana le monnasetulo o montshwa wa lekoko la anc mo province ya northwest nono maloyi ka maano a gagwe a go kitlana lekoko le go tokafatsa ditirelo mo northwest nna le seabe ka go letsa le go botsa dipotso ,negative,Setswana
@user1 29 -1 40 o tla kgona winkie-winkie eo or everyday o qala story sa hao fatshe o tlo fola neng tshepo right then i picked up her genuine concern for me which made me a little emotional i won t lie,negative,Setswana
that pule mabe podcast episode was ass that s why ke sa nyake di politicians lol they called him ntate dieman o nale 42 ,negative,multi
@user @user @user beautiful message and gud call u made when @user was on @user great tribute by pitso to your dad ntate madigage was a great gentleman even from a distance1 could see cap ya kereke forever on him ,positive,Setswana
@user jaanong e lockiwa ka lebogo ,negative,Setswana
i think my problem is i workout 3 4 times in a week then drink alcohol on a weekend and eat all kinds of unhealthy food then the next week i start from scratch ke tlhoka discipline and i m really falling in love with the progress so far,negative,multi
@user hai these thuma mina people ,neutral,Setswana
@user kgang ya teng le yone o kare dio tsa masalamose hela kore statement sa bone gase tshwaragane ,negative,Setswana
@user bese ngiloku ngiya etoilet ,neutral,Setswana
bona o tshela thupa veilllll ,neutral,Setswana
@user ha august a ya go hela ta bo di seo phefo e ile ka tsone,negative,Setswana
@user lol why wena o bua dintho tse o sa batle batho ba di nke serious wa bona wa bapala o fihla neng wena ko happiness that s on that video,positive,Setswana
@user nnyaa nna ne ke re ka re bogolo atumella ha bridgeway ponto o kgakala thata ,negative,Setswana
@user ai dio tsa nyena di dintsi banna ei,negative,Setswana
lrt kante r300 e kgona go kopanya seshabo fela sese matla jaana nna tse ke le sure e reka savanna fela ,negative,Setswana
@user @user hating ntate wena goa shota ko ntlong ga go na motho o wisang penty ka baka la gago ,negative,Setswana
@user ka ipotsa waitse,neutral,Setswana
@user akere we have a twanging kgosi a twanging premier a twanging a twanging minister of dirco a twanging president it s a complete deal sbali we re a hong hong hong state,positive,Setswana
@user @user mokgaga wena o monna wa mopedi yo a tswang setsong ka nnete pele ge western medication o fihla mo what were our forefathers healing themselves with,negative,Setswana
kgang yame ke gore atleast yone ya jewa as for me go bata blunt tse lekanang le goal tsa brentford ,positive,Setswana
@user @user o kgonne go fitlhela ko teng ,positive,Setswana
@user @user araba potso,neutral,Setswana
re jang di game kae ,neutral,Setswana
@user so le ruile dinotshe ko geno that s sweet ,positive,Setswana
@user gape ga go bonolo hle,positive,Setswana
nako tse dingwe re tsena hela re ta ntshiwa ke mogote ,neutral,Setswana
@user it depends ke lemogile gore take away coffee from shops ke e topela sukiri le lebese but at home i dont just black coffee i dont even buy sugar ko ga me ,negative,multi
koore are hot dog yone are ne a re o teng ,negative,Setswana
@user eish yah gotla siama warra ,negative,Setswana
uma umqondo uhlezi uwufaka ukudinwa or ukuthi awazi kuyo kwenzakalani mhla udiniwe indeed mhla udiniwe uyokunika all that you have been feeding it along bese uyazisola afterwards and say angazi nami kwenzekaleni ngivele ngabona nje sengikwenzile ,negative,Isixhosa
@user ah akanya thata akere,negative,Setswana
@user a ko tsene mo bateng ka metsi a tsididi o tshele jik go nkge chlorine koore lona le bata go akanyetswa sengwe le sengwe ,positive,Setswana
@user ke tlo tshela le malome mo twitter until,neutral,Setswana
@user wa kula ntate oh ,negative,Setswana
nna ke itse boroko ele jwa phakela le motshegare ke robala hela ka ga kena choice but hela hela nka se robale bosigo ,positive,Setswana
@user madume ntate waka re mmogo le bosigong jono ka loleme la marena it s going to be a shuprapapaa ,neutral,Setswana
re ta go bona jang o bo nwela mo ntlong ,negative,Setswana
ae wena o e baya jang jaanong ,negative,Setswana
ke size ya go ja nap hela when i get home ke thubilwe gore,neutral,Setswana
ntate ona kare otlo ntena jwale,neutral,Setswana
@user @user or oros o no tshela metsi ,negative,Setswana
@user ee thata,negative,Setswana
good morning fighter under the banner of @user the unity and love of@effsouthafrica is killing house negros softly thy wake up every day thinking about @user and our leadership because their leaders dnt have nothing to offer bopha fighter bopha ,positive,Setswana
@user lol swi ta vonakala kwale,neutral,Tsonga
ka le lengwe la mat at i le nna t aka ditlo popa ka reka yaka voucher akere lena le fana ledi chomi t a lena kadi corneng but is fine modimo keyo mogolo maybe one of my followers will bless me with a voucher who knows ,negative,Setswana
@user how the hell do u stay in shape mankana batho ha nka ba bolelela dingwaga tsa gago ba kase dumele,negative,Setswana
@user @user @user nna ntate o omborile worse ,negative,Setswana
@user but this meal is nice bonolo,positive,Setswana
 ngena ae lumi o bolaile batho ba bant hi ,positive,Setswana
@user @user ke di utlwile ditaba tsa call ,negative,Setswana
@user yes vrug jaana ,neutral,Setswana
@user lol dumela akere mara wa bona hake e tsebe puo ena kea eleka thank you seke ithutile something today ,positive,Setswana
